PARK,PLOT,SPECIES,REP,DATEFF,HEIGHT,NOTES
BR,ALONE,PLECON,1,5/10/2024,14.2,
BR,ALONE,PLECON,2,4/19/2024,12,
BR,ALONE,PLECON,3,5/14/2024,10.6,
BR,ALONE,NAVSQU,1,6/25/2024,31.1,
BR,ALONE,NAVSQU,2,6/25/2024,49.3,
BR,ALONE,NAVSQU,3,6/25/2024,32.1,
BR,ALONE,PLAFIG,1,,,DEAD
BR,ALONE,PLAFIG,2,5/14/2024,10.4,
BR,ALONE,PLAFIG,3,5/17/2024,11,
BR,ALONE,EPIDEN,1,7/2/2024,5,
BR,ALONE,EPIDEN,2,6/28/2024,9.9,
BR,ALONE,EPIDEN,3,,,DEAD
BR,ALONE,GILCAP,1,,,DEAD
BR,ALONE,GILCAP,2,,,NF
BR,ALONE,GILCAP,3,,,DEAD
BR,ALONE,COLLOM,1,6/18/2024,9.6,fruits
BR,ALONE,COLLOM,2,,,DEAD
BR,ALONE,COLLOM,3,6/25/2024,10,fruits
BR,ALONE,CLAPUR,1,7/2/2024,16.5,
BR,ALONE,CLAPUR,2,,,DEAD
BR,ALONE,CLAPUR,3,,,NF
BR,ALONE,COLLIN,1,6/4/2024,8.2,
BR,ALONE,COLLIN,2,,,DEAD
BR,ALONE,COLLIN,3,,,DEAD
BR,DIVERSE,PLECON,1,4/26/2024,12.6,
BR,DIVERSE,PLECON,2,4/19/2024,7,DIED
BR,DIVERSE,PLECON,3,5/17/2024,17.8,
BR,DIVERSE,NAVSQU,1,6/28/2024,30.5,
BR,DIVERSE,NAVSQU,2,6/25/2024,25.9,
BR,DIVERSE,NAVSQU,3,6/21/2024,42.5,
BR,DIVERSE,PLAFIG,1,5/17/2024,6.1,
BR,DIVERSE,PLAFIG,2,5/17/2024,2,
BR,DIVERSE,PLAFIG,3,5/17/2024,10.6,
BR,DIVERSE,EPIDEN,1,7/2/2024,12.6,
BR,DIVERSE,EPIDEN,2,7/2/2024,12.2,
BR,DIVERSE,EPIDEN,3,7/2/2024,8.6,
BR,DIVERSE,GILCAP,1,6/18/2024,22,
BR,DIVERSE,GILCAP,2,,,NF
BR,DIVERSE,GILCAP,3,6/18/2024,41.1,
BR,DIVERSE,COLLOM,1,6/25/2024,13.6,
BR,DIVERSE,COLLOM,2,6/25/2024,23.8,
BR,DIVERSE,COLLOM,3,6/28/2024,11.3,
BR,DIVERSE,CLAPUR,1,6/21/2024,27.9,
BR,DIVERSE,CLAPUR,2,,,NF
BR,DIVERSE,CLAPUR,3,,,NF
BR,DIVERSE,COLLIN,1,5/28/2024,10.1,
BR,DIVERSE,COLLIN,2,5/14/2024,21.1,
BR,DIVERSE,COLLIN,3,5/17/2024,11.8,
SEM,ALONE,PLECON,1,5/10/2024,13.3,
SEM,ALONE,PLECON,2,,,DEAD
SEM,ALONE,PLECON,3,,,DEAD
SEM,ALONE,NAVSQU,1,6/28/2024,25.1,
SEM,ALONE,NAVSQU,2,6/25/2024,34.5,
SEM,ALONE,NAVSQU,3,6/25/2024,39.5,
SEM,ALONE,PLAFIG,1,5/14/2024,21.2,
SEM,ALONE,PLAFIG,2,4/30/2024,10.1,
SEM,ALONE,PLAFIG,3,5/17/2024,20.6,
SEM,ALONE,EPIDEN,1,,,NF
SEM,ALONE,EPIDEN,2,,,NF
SEM,ALONE,EPIDEN,3,,,NF
SEM,ALONE,GILCAP,1,,,NF
SEM,ALONE,GILCAP,2,,,NF
SEM,ALONE,GILCAP,3,,,NF
SEM,ALONE,COLLOM,1,,,MF
SEM,ALONE,COLLOM,2,,,DEAD
SEM,ALONE,COLLOM,3,,,DEAD
SEM,ALONE,CLAPUR,1,,,DEAD
SEM,ALONE,CLAPUR,2,,,DEAD
SEM,ALONE,CLAPUR,3,,,DEAD
SEM,ALONE,COLLIN,1,,,DEAD
SEM,ALONE,COLLIN,2,,,DEAD
SEM,ALONE,COLLIN,3,,,DEAD
SEM,DIVERSE,PLECON,1,,,WRONG SPECIES
SEM,DIVERSE,PLECON,2,5/24/2024,17.8,
SEM,DIVERSE,PLECON,3,,,DEAD
SEM,DIVERSE,NAVSQU,1,7/2/2024,29.8,
SEM,DIVERSE,NAVSQU,2,6/28/2024,24.9,
SEM,DIVERSE,NAVSQU,3,7/2/2024,14.4,
SEM,DIVERSE,PLAFIG,1,5/7/2024,6.9,
SEM,DIVERSE,PLAFIG,2,5/14/2024,10.5,
SEM,DIVERSE,PLAFIG,3,5/14/2024,10,
SEM,DIVERSE,EPIDEN,1,7/2/2024,16.5,
SEM,DIVERSE,EPIDEN,2,,,NF
SEM,DIVERSE,EPIDEN,3,,,NF
SEM,DIVERSE,GILCAP,1,6/21/2024,47.7,
SEM,DIVERSE,GILCAP,2,,,DEAD
SEM,DIVERSE,GILCAP,3,,,NF
SEM,DIVERSE,COLLOM,1,,,DEAD
SEM,DIVERSE,COLLOM,2,6/28/2024,16.8,
SEM,DIVERSE,COLLOM,3,6/28/2024,11.3,
SEM,DIVERSE,CLAPUR,1,,,DEAD
SEM,DIVERSE,CLAPUR,2,,,NF
SEM,DIVERSE,CLAPUR,3,,,NF
SEM,DIVERSE,COLLIN,1,5/28/2024,8.5,
SEM,DIVERSE,COLLIN,2,6/11/2024,14,
SEM,DIVERSE,COLLIN,3,5/31/2024,9.9,
WIR,ALONE,PLECON,1,4/26/2024,8.9,
WIR,ALONE,PLECON,2,4/19/2024,10.2,
WIR,ALONE,PLECON,3,5/3/2024,12.4,
WIR,ALONE,NAVSQU,1,6/25/2024,41.5,
WIR,ALONE,NAVSQU,2,6/18/2024,43.6,
WIR,ALONE,NAVSQU,3,6/18/2024,44.5,
WIR,ALONE,PLAFIG,1,5/14/2024,26.9,
WIR,ALONE,PLAFIG,2,5/10/2024,14.2,
WIR,ALONE,PLAFIG,3,5/7/2024,15.2,
