PARK,PLOT,SPECIES,Date,Phenophase,Value
BR,DIVERSE,PLECON,2024-03-01,V,1
BR,DIVERSE,PLECON,2024-03-01,B,
BR,DIVERSE,PLECON,2024-03-01,FL,
BR,DIVERSE,PLECON,2024-03-01,FR,
BR,DIVERSE,PLECON,2024-03-08,V,1
BR,DIVERSE,PLECON,2024-03-08,B,
BR,DIVERSE,PLECON,2024-03-08,FL,
BR,DIVERSE,PLECON,2024-03-08,FR,
BR,DIVERSE,PLECON,2024-03-15,V,1
BR,DIVERSE,PLECON,2024-03-15,B,
BR,DIVERSE,PLECON,2024-03-15,FL,
BR,DIVERSE,PLECON,2024-03-15,FR,
BR,DIVERSE,PLECON,2024-03-20,V,1
BR,DIVERSE,PLECON,2024-03-20,B,1
BR,DIVERSE,PLECON,2024-03-20,FL,
BR,DIVERSE,PLECON,2024-03-20,FR,
BR,DIVERSE,PLECON,2024-03-26,V,1
BR,DIVERSE,PLECON,2024-03-26,B,1
BR,DIVERSE,PLECON,2024-03-26,FL,
BR,DIVERSE,PLECON,2024-03-26,FR,
BR,DIVERSE,PLECON,2024-04-02,V,1
BR,DIVERSE,PLECON,2024-04-02,B,1
BR,DIVERSE,PLECON,2024-04-02,FL,
BR,DIVERSE,PLECON,2024-04-02,FR,
BR,DIVERSE,PLECON,2024-04-05,V,1
BR,DIVERSE,PLECON,2024-04-05,B,1
BR,DIVERSE,PLECON,2024-04-05,FL,
BR,DIVERSE,PLECON,2024-04-05,FR,
BR,DIVERSE,PLECON,2024-04-09,V,1
BR,DIVERSE,PLECON,2024-04-09,B,1
BR,DIVERSE,PLECON,2024-04-09,FL,1
BR,DIVERSE,PLECON,2024-04-09,FR,
BR,DIVERSE,PLECON,2024-04-12,V,1
BR,DIVERSE,PLECON,2024-04-12,B,1
BR,DIVERSE,PLECON,2024-04-12,FL,1
BR,DIVERSE,PLECON,2024-04-12,FR,
BR,DIVERSE,PLECON,2024-04-16,V,1
BR,DIVERSE,PLECON,2024-04-16,B,1
BR,DIVERSE,PLECON,2024-04-16,FL,1
BR,DIVERSE,PLECON,2024-04-16,FR,
BR,DIVERSE,PLECON,2024-04-19,V,1
BR,DIVERSE,PLECON,2024-04-19,B,1
BR,DIVERSE,PLECON,2024-04-19,FL,1
BR,DIVERSE,PLECON,2024-04-19,FR,
BR,DIVERSE,PLECON,2024-04-23,V,1
BR,DIVERSE,PLECON,2024-04-23,B,1
BR,DIVERSE,PLECON,2024-04-23,FL,1
BR,DIVERSE,PLECON,2024-04-23,FR,
BR,DIVERSE,PLECON,2024-04-26,V,1
BR,DIVERSE,PLECON,2024-04-26,B,1
BR,DIVERSE,PLECON,2024-04-26,FL,1
BR,DIVERSE,PLECON,2024-04-26,FR,
BR,DIVERSE,PLECON,2024-05-03,V,1
BR,DIVERSE,PLECON,2024-05-03,B,1
BR,DIVERSE,PLECON,2024-05-03,FL,1
BR,DIVERSE,PLECON,2024-05-03,FR,1
BR,DIVERSE,PLECON,2024-05-07,V,1
BR,DIVERSE,PLECON,2024-05-07,B,1
BR,DIVERSE,PLECON,2024-05-07,FL,1
BR,DIVERSE,PLECON,2024-05-07,FR,1
BR,DIVERSE,PLECON,2024-05-10,V,1
BR,DIVERSE,PLECON,2024-05-10,B,1
BR,DIVERSE,PLECON,2024-05-10,FL,1
BR,DIVERSE,PLECON,2024-05-10,FR,1
BR,DIVERSE,PLECON,2024-05-14,V,1
BR,DIVERSE,PLECON,2024-05-14,B,1
BR,DIVERSE,PLECON,2024-05-14,FL,1
BR,DIVERSE,PLECON,2024-05-14,FR,1
BR,DIVERSE,PLECON,2024-05-17,V,1
BR,DIVERSE,PLECON,2024-05-17,B,1
BR,DIVERSE,PLECON,2024-05-17,FL,1
BR,DIVERSE,PLECON,2024-05-17,FR,1
BR,DIVERSE,PLECON,2024-05-21,V,1
BR,DIVERSE,PLECON,2024-05-21,B,1
BR,DIVERSE,PLECON,2024-05-21,FL,1
BR,DIVERSE,PLECON,2024-05-21,FR,1
BR,DIVERSE,PLECON,2024-05-24,V,1
BR,DIVERSE,PLECON,2024-05-24,B,1
BR,DIVERSE,PLECON,2024-05-24,FL,1
BR,DIVERSE,PLECON,2024-05-24,FR,1
BR,DIVERSE,PLECON,2024-05-28,V,1
BR,DIVERSE,PLECON,2024-05-28,B,1
BR,DIVERSE,PLECON,2024-05-28,FL,1
BR,DIVERSE,PLECON,2024-05-28,FR,1
BR,DIVERSE,PLECON,2024-05-31,V,1
BR,DIVERSE,PLECON,2024-05-31,B,1
BR,DIVERSE,PLECON,2024-05-31,FL,1
BR,DIVERSE,PLECON,2024-05-31,FR,1
BR,DIVERSE,PLECON,2024-06-07,V,
BR,DIVERSE,PLECON,2024-06-07,B,1
BR,DIVERSE,PLECON,2024-06-07,FL,1
BR,DIVERSE,PLECON,2024-06-07,FR,1
BR,DIVERSE,PLECON,2024-06-11,V,
BR,DIVERSE,PLECON,2024-06-11,B,1
BR,DIVERSE,PLECON,2024-06-11,FL,1
BR,DIVERSE,PLECON,2024-06-11,FR,1
BR,DIVERSE,PLECON,2024-06-14,V,
BR,DIVERSE,PLECON,2024-06-14,B,1
BR,DIVERSE,PLECON,2024-06-14,FL,1
BR,DIVERSE,PLECON,2024-06-14,FR,1
BR,DIVERSE,PLECON,2024-06-18,V,
BR,DIVERSE,PLECON,2024-06-18,B,1
BR,DIVERSE,PLECON,2024-06-18,FL,1
BR,DIVERSE,PLECON,2024-06-18,FR,1
BR,DIVERSE,PLECON,2024-06-21,V,
BR,DIVERSE,PLECON,2024-06-21,B,1
BR,DIVERSE,PLECON,2024-06-21,FL,1
BR,DIVERSE,PLECON,2024-06-21,FR,1
BR,DIVERSE,PLECON,2024-06-25,V,
BR,DIVERSE,PLECON,2024-06-25,B,
BR,DIVERSE,PLECON,2024-06-25,FL,
BR,DIVERSE,PLECON,2024-06-25,FR,1
BR,DIVERSE,PLECON,2024-06-28,V,
BR,DIVERSE,PLECON,2024-06-28,B,
BR,DIVERSE,PLECON,2024-06-28,FL,
BR,DIVERSE,PLECON,2024-06-28,FR,1
BR,DIVERSE,PLECON,2024-07-02,V,
BR,DIVERSE,PLECON,2024-07-02,B,
BR,DIVERSE,PLECON,2024-07-02,FL,
BR,DIVERSE,PLECON,2024-07-02,FR,1
BR,DIVERSE,NAVSQU,2024-03-01,V,1
BR,DIVERSE,NAVSQU,2024-03-01,B,
BR,DIVERSE,NAVSQU,2024-03-01,FL,
BR,DIVERSE,NAVSQU,2024-03-01,FR,
BR,DIVERSE,NAVSQU,2024-03-08,V,1
BR,DIVERSE,NAVSQU,2024-03-08,B,
BR,DIVERSE,NAVSQU,2024-03-08,FL,
BR,DIVERSE,NAVSQU,2024-03-08,FR,
BR,DIVERSE,NAVSQU,2024-03-15,V,1
BR,DIVERSE,NAVSQU,2024-03-15,B,
BR,DIVERSE,NAVSQU,2024-03-15,FL,
BR,DIVERSE,NAVSQU,2024-03-15,FR,
BR,DIVERSE,NAVSQU,2024-03-20,V,1
BR,DIVERSE,NAVSQU,2024-03-20,B,
BR,DIVERSE,NAVSQU,2024-03-20,FL,
BR,DIVERSE,NAVSQU,2024-03-20,FR,
BR,DIVERSE,NAVSQU,2024-03-26,V,1
BR,DIVERSE,NAVSQU,2024-03-26,B,
BR,DIVERSE,NAVSQU,2024-03-26,FL,
BR,DIVERSE,NAVSQU,2024-03-26,FR,
BR,DIVERSE,NAVSQU,2024-04-02,V,1
BR,DIVERSE,NAVSQU,2024-04-02,B,
BR,DIVERSE,NAVSQU,2024-04-02,FL,
BR,DIVERSE,NAVSQU,2024-04-02,FR,
BR,DIVERSE,NAVSQU,2024-04-05,V,1
BR,DIVERSE,NAVSQU,2024-04-05,B,
BR,DIVERSE,NAVSQU,2024-04-05,FL,
BR,DIVERSE,NAVSQU,2024-04-05,FR,
BR,DIVERSE,NAVSQU,2024-04-09,V,1
BR,DIVERSE,NAVSQU,2024-04-09,B,
BR,DIVERSE,NAVSQU,2024-04-09,FL,
BR,DIVERSE,NAVSQU,2024-04-09,FR,
BR,DIVERSE,NAVSQU,2024-04-12,V,1
BR,DIVERSE,NAVSQU,2024-04-12,B,
BR,DIVERSE,NAVSQU,2024-04-12,FL,
BR,DIVERSE,NAVSQU,2024-04-12,FR,
BR,DIVERSE,NAVSQU,2024-04-16,V,1
BR,DIVERSE,NAVSQU,2024-04-16,B,
BR,DIVERSE,NAVSQU,2024-04-16,FL,
BR,DIVERSE,NAVSQU,2024-04-16,FR,
BR,DIVERSE,NAVSQU,2024-04-19,V,1
BR,DIVERSE,NAVSQU,2024-04-19,B,
BR,DIVERSE,NAVSQU,2024-04-19,FL,
BR,DIVERSE,NAVSQU,2024-04-19,FR,
BR,DIVERSE,NAVSQU,2024-04-23,V,1
BR,DIVERSE,NAVSQU,2024-04-23,B,
BR,DIVERSE,NAVSQU,2024-04-23,FL,
BR,DIVERSE,NAVSQU,2024-04-23,FR,
BR,DIVERSE,NAVSQU,2024-04-26,V,1
BR,DIVERSE,NAVSQU,2024-04-26,B,
BR,DIVERSE,NAVSQU,2024-04-26,FL,
BR,DIVERSE,NAVSQU,2024-04-26,FR,
BR,DIVERSE,NAVSQU,2024-05-03,V,1
BR,DIVERSE,NAVSQU,2024-05-03,B,
BR,DIVERSE,NAVSQU,2024-05-03,FL,
BR,DIVERSE,NAVSQU,2024-05-03,FR,
BR,DIVERSE,NAVSQU,2024-05-07,V,1
BR,DIVERSE,NAVSQU,2024-05-07,B,
BR,DIVERSE,NAVSQU,2024-05-07,FL,
BR,DIVERSE,NAVSQU,2024-05-07,FR,
BR,DIVERSE,NAVSQU,2024-05-10,V,1
BR,DIVERSE,NAVSQU,2024-05-10,B,
BR,DIVERSE,NAVSQU,2024-05-10,FL,
BR,DIVERSE,NAVSQU,2024-05-10,FR,
BR,DIVERSE,NAVSQU,2024-05-14,V,1
BR,DIVERSE,NAVSQU,2024-05-14,B,
BR,DIVERSE,NAVSQU,2024-05-14,FL,
BR,DIVERSE,NAVSQU,2024-05-14,FR,
BR,DIVERSE,NAVSQU,2024-05-17,V,1
BR,DIVERSE,NAVSQU,2024-05-17,B,
BR,DIVERSE,NAVSQU,2024-05-17,FL,
BR,DIVERSE,NAVSQU,2024-05-17,FR,
BR,DIVERSE,NAVSQU,2024-05-21,V,1
BR,DIVERSE,NAVSQU,2024-05-21,B,
BR,DIVERSE,NAVSQU,2024-05-21,FL,
BR,DIVERSE,NAVSQU,2024-05-21,FR,
BR,DIVERSE,NAVSQU,2024-05-24,V,1
BR,DIVERSE,NAVSQU,2024-05-24,B,
BR,DIVERSE,NAVSQU,2024-05-24,FL,
BR,DIVERSE,NAVSQU,2024-05-24,FR,
BR,DIVERSE,NAVSQU,2024-05-28,V,1
BR,DIVERSE,NAVSQU,2024-05-28,B,
BR,DIVERSE,NAVSQU,2024-05-28,FL,
BR,DIVERSE,NAVSQU,2024-05-28,FR,
BR,DIVERSE,NAVSQU,2024-05-31,V,1
BR,DIVERSE,NAVSQU,2024-05-31,B,
BR,DIVERSE,NAVSQU,2024-05-31,FL,
BR,DIVERSE,NAVSQU,2024-05-31,FR,
BR,DIVERSE,NAVSQU,2024-06-07,V,1
BR,DIVERSE,NAVSQU,2024-06-07,B,
BR,DIVERSE,NAVSQU,2024-06-07,FL,
BR,DIVERSE,NAVSQU,2024-06-07,FR,
BR,DIVERSE,NAVSQU,2024-06-11,V,1
BR,DIVERSE,NAVSQU,2024-06-11,B,
BR,DIVERSE,NAVSQU,2024-06-11,FL,
BR,DIVERSE,NAVSQU,2024-06-11,FR,
BR,DIVERSE,NAVSQU,2024-06-14,V,1
BR,DIVERSE,NAVSQU,2024-06-14,B,
BR,DIVERSE,NAVSQU,2024-06-14,FL,
BR,DIVERSE,NAVSQU,2024-06-14,FR,
BR,DIVERSE,NAVSQU,2024-06-18,V,1
BR,DIVERSE,NAVSQU,2024-06-18,B,1
BR,DIVERSE,NAVSQU,2024-06-18,FL,1
BR,DIVERSE,NAVSQU,2024-06-18,FR,
BR,DIVERSE,NAVSQU,2024-06-21,V,1
BR,DIVERSE,NAVSQU,2024-06-21,B,1
BR,DIVERSE,NAVSQU,2024-06-21,FL,1
BR,DIVERSE,NAVSQU,2024-06-21,FR,
BR,DIVERSE,NAVSQU,2024-06-25,V,1
BR,DIVERSE,NAVSQU,2024-06-25,B,1
BR,DIVERSE,NAVSQU,2024-06-25,FL,1
