PARK,PLOT,SPECIES,REP,DATE,PLOT,SUBPLOT,HEIGHT,TOTALINFL,TOPINFL_FR,SIDEINFL_FR,FR_PER_INFL,FINALFR,SEEDSPERFR,FINALSEED,NOTES
BR,ALONE,CLAPUR,1,7/23/2025,,,12.2,,,,,11,55,605,
BR,ALONE,CLAPUR,2,,,,,,,,,,55,0,gone
BR,ALONE,CLAPUR,3,7/23/2025,,,7.8,,,,,5,55,275,"BT, herb"
BR,ALONE,CLAPUR,4,7/23/2025,,,4.9,,,,,2,55,110,BT
BR,ALONE,CLAPUR,5,7/23/2025,,,9.5,,,,,16,55,880,
BR,ALONE,CLAPUR,6,7/23/2025,,,2.1,,,,,0,55,0,BT
BR,ALONE,CLAPUR,7,,,,,,,,,,55,0,gone
BR,ALONE,CLAPUR,8,7/23/2025,,,3.2,,,,,0,55,0,BT
BR,ALONE,CLAPUR,9,7/23/2025,,,5.5,,,,,4,55,220,BT
BR,ALONE,CLAPUR,10,7/23/2025,,,6.5,,,,,6,55,330,BT
BR,ALONE,CLAPUR,11,7/23/2025,,,9.2,,,,,5,55,275,BT
BR,ALONE,CLAPUR,12,7/23/2025,,,5.6,,,,,7,55,385,BT
BR,ALONE,CLAPUR,13,7/23/2025,,,3.1,,,,,2,55,110,BT
BR,ALONE,CLAPUR,14,,,,,,,,,,55,0,gone
BR,ALONE,CLAPUR,15,7/23/2025,,,4.4,,,,,6,55,330,herb
BR,DIVERSE,CLAPUR,1,7/29/2025,12,E4,13.9,,,,,1,55,55,
BR,DIVERSE,CLAPUR,2,,10,C3,,,,,,,55,0,gone
BR,DIVERSE,CLAPUR,3,7/29/2025,3,D2,7,,,,,1,55,55,
BR,DIVERSE,CLAPUR,4,,11,,,,,,,,55,0,
BR,DIVERSE,CLAPUR,5,,7,,,,,,,,55,0,gone
BR,DIVERSE,CLAPUR,6,7/29/2025,13,D3,26,,,,,2,55,110,
BR,DIVERSE,CLAPUR,7,7/29/2025,12,C3,8.8,,,,,3,55,165,
BR,DIVERSE,CLAPUR,8,7/23/2025,6,,,,,,,,55,0,gone
BR,DIVERSE,CLAPUR,9,7/29/2025,12,B3,16.2,,,,,1,55,55,
BR,DIVERSE,CLAPUR,10,7/23/2025,12,,,,,,,,55,0,gone
BR,DIVERSE,CLAPUR,11,7/23/2025,1,E2,14.2,,,,,1,55,55,
BR,DIVERSE,CLAPUR,12,7/23/2025,1,A3,19.1,,,,,2,55,110,
BR,DIVERSE,CLAPUR,13,7/23/2025,9,D2,11.6,,,,,1,55,55,
BR,DIVERSE,CLAPUR,14,7/23/2025,1,B2,20.2,,,,,2,55,110,
BR,DIVERSE,CLAPUR,15,7/23/2025,1,C2,6.9,,,,,1,55,55,
