PARK,PLOT,PLOT.NUM,SUBPLOT,SPECIES,REP,FFDATE,HEIGHT,DEATHDATE,NOTES,,,,,,,,,,,,,,,,
BR,ALONE,,,CLAPUR,1,6/20/2025,13.6,,,,,,,,,,,,,,,,,,
BR,ALONE,,,CLAPUR,2,,,6/17/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,CLAPUR,3,6/17/2025,7.9,,,,,,,,,,,,,,,,,,
BR,ALONE,,,CLAPUR,4,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,CLAPUR,5,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,CLAPUR,6,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,CLAPUR,7,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,CLAPUR,8,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,CLAPUR,9,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,CLAPUR,10,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,CLAPUR,11,6/25/2027,7.6,,,,,,,,,,,,,,,,,,
BR,ALONE,,,CLAPUR,12,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,CLAPUR,13,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,CLAPUR,14,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,CLAPUR,15,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLIN,1,,,5/27/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLIN,2,,,5/27/2025,odd 5/13,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLIN,3,5/27/2025,8.6,,,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLIN,4,,,5/27/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLIN,5,,,6/2/2025,odd 5/30,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLIN,6,,,6/2/2025,"H 5/2, odd 5/30",,,,,,,,,,,,,,,,
BR,ALONE,,,COLLIN,7,,,5/30/2025,gone 5/30,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLIN,8,5/16/2025,6.4,6/2/2025,odd 5/30,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLIN,9,,,5/27/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLIN,10,5/13/2025,7.6,6/17/2025,"pushed out of ground, ODD 6/2",,,,,,,,,,,,,,,,
BR,ALONE,,,COLLIN,11,,,6/6/2025,ODD 6/2,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLIN,12,5/27/2025,4.2,5/30/2025,gone 5/30,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLIN,13,,,6/6/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLIN,14,,,5/27/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLIN,15,6/2/2025,3.3,6/9/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLOM,1,6/27/2025,5.1,,"cleistogamous, height at first fruit",,,,,,,,,,,,,,,,
BR,ALONE,,,COLLOM,2,6/24/2025,5.1,,Cleistogamous ,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLOM,3,6/24/2025,9.4,,Cleistogamous ,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLOM,4,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLOM,5,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLOM,6,,,6/6/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLOM,7,,,,"Herbivory, odd 6/27/25",,,,,,,,,,,,,,,,
BR,ALONE,,,COLLOM,8,6/24/2025,8.6,,Cleistogamous ,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLOM,9,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLOM,10,6/24/2025,6.2,,Cleistogamous ,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLOM,11,6/24/2025,8.1,,Cleistogamous,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLOM,12,,,,"Herbivory, odd 6/27/25",,,,,,,,,,,,,,,,
BR,ALONE,,,COLLOM,13,,,6/6/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLOM,14,,,6/6/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,COLLOM,15,,,,Herbivory ,,,,,,,,,,,,,,,,
BR,ALONE,,,EPIDEN,1,,,,Odd 6/24/25,,,,,,,,,,,,,,,,
BR,ALONE,,,EPIDEN,2,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,EPIDEN,3,,,6/24/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,EPIDEN,4,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,EPIDEN,5,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,EPIDEN,6,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,EPIDEN,7,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,EPIDEN,8,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,EPIDEN,9,6/27/2025,9.0,,,,,,,,,,,,,,,,,,
BR,ALONE,,,EPIDEN,10,6/27/2025,8.4,,,,,,,,,,,,,,,,,,
BR,ALONE,,,EPIDEN,11,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,EPIDEN,12,6/27/2025,7.0,,,,,,,,,,,,,,,,,,
BR,ALONE,,,EPIDEN,13,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,EPIDEN,14,6/20/2025,10.4,,Herbivory ,,,,,,,,,,,,,,,,
BR,ALONE,,,EPIDEN,15,6/27/2025,5.5,,,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,1,6/25/2027,9.5,,h 6/2,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,2,6/24/2025,12.4,,h 6/2,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,3,6/27/2025,,,h 6/2,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,4,6/20/2025,13.8,,h 6/2,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,5,6/20/2025,21.6,,h 6/2,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,6,,,,h 6/2,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,7,,,6/20/2025,h 6/2,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,8,,,,h 6/2,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,9,,,,h 6/2,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,10,,,,h 6/2,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,11,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,12,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,13,,,6/24/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,14,6/20/2025,30.0,,herbivory,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,15,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,1,6/17/2025,30.0,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,2,6/17/2025,22.3,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,3,6/17/2025,35.3,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,4,6/17/2025,16.0,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,5,6/17/2025,20.5,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,6,6/17/2025,28.2,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,7,6/17/2025,14.7,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,8,6/20/2025,7.0,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,9,6/24/2025,12.1,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,10,6/17/2025,16.1,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,11,,,6/17/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,12,6/17/2025,14.0,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,13,6/20/2025,32.9,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,14,6/17/2025,13.4,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,15,6/17/2025,16.8,,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLAFIG,1,5/13/2025,3.0,,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLAFIG,2,5/13/2025,7.1,,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLAFIG,3,5/2/2025,9.5,,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLAFIG,4,5/9/2025,9.9,6/17/2025,,,,,,,,,,,,,,,,,
