PARK,PLOT,PLOT,SUBPLOT,PLECON,NAVSQU,EPIDEN,PLAFIG,GILCAP,COLLOM,CLAPUR,COLLIN,BROHOR,ERILAN,CRESET,CYNECH,DAUCAR,GERDIS,LEUVUL,Madia,SHEARV,AIRCAR,ARRELA,BROELE,BRODIA,BROSTE,GALAPA,HOLLAN,LINBIE,MYODIS,PLALAN,RUAR,TORARV,VULBRO,agrostis spp,APOAND,CAMLEI,CASTEN,CERGLO,Cirsium,DACGLO,DIAARM,HYPPER,LACSER,LATVES,RUMCRI,SONASP,TAECAP,TRIDUB,Trifolium,Vicia,CARTUM,VEROFF,BROSIT,EPIBRA,CARHIR,NAVINT,CYTSCO,ACMAME,DICCON,WYEANG,NOTES
RF,DIVERSE,1,A1,0,0,10,0,0,6,0,0,0,13,,0,1,16,0,0,0,0,,,0,0,0,0,0,0,,,,4,0,,,,1,,,,,11,,0,,,,,0,,0,,,,,,,,,
RF,DIVERSE,1,B1,0,0,7,0,0,8,0,0,0,0,,0,0,4,0,0,0,0,,,0,0,0,0,0,0,,,,2,0,,,,0,,,,,7,,0,,,,,0,,8,,,,,,,,,
RF,DIVERSE,1,C1,2,0,0,0,0,0,0,0,0,0,,0,0,4,0,0,0,0,,,0,0,0,0,0,0,,,,7,0,,,,0,,,,,8,,0,1,,,,0,,8,,,,,,,,,
RF,DIVERSE,1,D1,28,0,2,0,0,0,0,0,0,0,,0,0,3,0,0,0,0,,,0,0,0,0,0,0,,,,3,0,,,,0,,,,,0,,0,,,,,0,,0,,,,,,,,,
RF,DIVERSE,1,E1,8,0,13,0,0,7,0,0,1,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,3,,,,1,3,,,,0,,,,,0,,0,,,,,2,,1,,,,,,,,,
RF,DIVERSE,1,A2,3,0,2,0,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,0,,,,3,,,,,10,,0,,,,,0,,0,,,,,,,,,
RF,DIVERSE,1,B2,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,0,,,,0,,,,,6,,0,,,,,0,,0,,,,,,,,,
RF,DIVERSE,1,C2,5,0,0,0,0,2,0,2,0,10,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,0,,,,0,,,,,10,,0,,,,,0,,0,,,,,,,,,
RF,DIVERSE,1,D2,7,0,1,0,0,0,0,1,0,1,,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,0,,,,0,,,,,2,,0,,,,,0,,0,,,,,,,,,
RF,DIVERSE,1,E2,23,0,8,0,0,2,1,1,1,0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,0,,,,,1,,0,0,0,0,0,0,,0,,,,,,,,,
RF,DIVERSE,1,A3,4,0,0,0,0,0,0,0,0,0,,0,0,7,0,0,0,0,,,0,0,0,0,0,0,,,,4,0,,,,2,,,,,10,,0,,,,,0,,0,,,,,,,,,
RF,DIVERSE,1,B3,0,0,2,0,0,2,0,0,0,0,,0,0,6,0,0,0,0,,,0,0,0,0,0,0,,,,6,0,,,,2,,,,,5,,0,,,,,0,,8,,,,,,,,,
