PARK,PLOT,PLOT,SUBPLOT,PLECON,NAVSQU,EPIDEN,PLAFIG,GILCAP,COLLOM,CLAPUR,COLLIN,BROHOR,ERILAN,CRESET,CYNECH,DAUCAR,GERDIS,LEUVUL,Madia,SHEARV,AIRCAR,ARRELA,BROELE,BRODIA,BROSTE,GALAPA,HOLLAN,LINBIE,MYODIS,PLALAN,RUAR,TORARV,VULBRO,agrostis spp,APOAND,CAMLEI,CASTEN,CERGLO,Cirsium,DACGLO,DIAARM,HYPPER,LACSER,LATVES,RUMCRI,SONASP,TAECAP,TRIDUB,Trifolium,Vicia,CARTUM,VEROFF,BROSIT,EPIBRA,CARHIR,NAVINT,CYTSCO,ACMAME,DICCON,WYEANG,NOTES
SEM,DIVERSE,1,A1,0,0,0,0,0,1,0,0,,,,,,3,,,8,,,,,,5,,,,,,,3,,,,,1,,,,,,,,,,,4,,,,,,,,,,,,
SEM,DIVERSE,1,B1,0,0,0,0,0,1,0,0,,,6,,,3,,,3,,,,,,7,,,,,,2,1,,3,,,,,,,,,,,,,,6,1,,,,,,,,,,,
SEM,DIVERSE,1,C1,0,0,1,0,2,0,1,2,,,6,,,3,,,1,,,,,,5,,,,,,2,,,1,,,,,,,,,,,,,,9,5,,,,,,,,,,,
SEM,DIVERSE,1,D1,0,0,7,0,1,0,0,0,,2,3,,,2,,,1,,,,,,1,,,,,,2,1,,,,,1,,,,,,,,,,,3,2,,,,,,,,,,,
SEM,DIVERSE,1,E1,0,0,10,2,1,1,0,1,,2,5,,,,,,1,,,,,,4,,,,,,,,,1,,,2,,,,,,,,,,,5,2,,,,,,,,,,,
SEM,DIVERSE,1,A2,0,0,0,0,0,0,0,0,,,,,,,,,6,,,,,,5,,,,,,1,1,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,
SEM,DIVERSE,1,B2,0,0,0,0,0,0,0,2,,,4,,,1,,,4,,,,,,6,,,,,,1,,,1,,,1,,,,,,,,,,,4,,,,,,,,,,,,
SEM,DIVERSE,1,C2,0,0,0,0,0,0,0,1,1,,5,,,2,,,8,,,,,,5,,,,,,3,1,,,,,2,,,,,,,,1,,,5,,,,1,,,,,,,,
SEM,DIVERSE,1,D2,0,0,4,0,2,1,0,5,,,3,,,1,,,2,,,,,,,2,,,,,1,2,,,,,2,,,,,,,,,,,2,4,,,,,,,,,,,
SEM,DIVERSE,1,E2,0,0,5,0,1,1,0,5,,,2,,,,,,5,,,,,,1,,,,,,1,,,1,,,2,,,,,,,,,,,,26,,,1,,,,,,,,
SEM,DIVERSE,1,A3,0,0,1,0,0,0,0,0,,,6,,,2,,,10,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,
SEM,DIVERSE,1,B3,0,0,0,0,1,0,0,1,,,5,,,3,,,9,,,,,,9,,,,,,,,,,,,1,,,,,,,,,,,5,,,,,,,,,,,,
SEM,DIVERSE,1,C3,0,0,4,0,1,0,0,6,,,5,,,3,,,4,,,,,,5,,,,,,2,1,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,30% BG
SEM,DIVERSE,1,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEM,DIVERSE,1,E3,0,0,15,0,1,0,0,0,,,,,,,,,3,,,,,,,,,,,,3,5,,2,,,3,,,,,,,,,,,,,,,1,,,,,,,,
SEM,DIVERSE,1,A4,0,0,0,2,1,0,0,5,,,1,,,4,,,9,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
SEM,DIVERSE,1,B4,0,0,0,0,0,0,0,10,,,3,,,4,,,7,,,,,,5,,,,,,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,
SEM,DIVERSE,1,C4,0,0,3,0,1,0,0,3,,,2,,,3,,,9,,,,,,8,,,,,,4,,,,,,,,,,,,,,,,,2,8,,,,,,,,,,,30% BG
SEM,DIVERSE,1,D4,0,0,9,0,5,0,0,4,,,3,,,1,,,1,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,9,,,1,,,,,,,,75% BG
SEM,DIVERSE,1,E4,0,0,23,0,0,0,0,0,,,2,,,5,,,8,,,,,,,,,,,,2,3,,1,,,12,,,,,,,,,,,4,4,,,1,,,,,,,,
SEM,DIVERSE,1,A5,0,0,1,1,1,0,0,1,,,3,,,5,,,9,,,,,,4,,,,,,5,1,,3,,,3,,,,,,,,,,,,3,,,,,,,,,,,
SEM,DIVERSE,1,B5,0,0,2,1,6,1,0,3,,,7,,,3,,,5,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,
SEM,DIVERSE,1,C5,0,0,9,0,2,0,1,3,,,1,,,4,,,5,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,5,,,,,,,,,,,
SEM,DIVERSE,1,D5,0,0,4,0,2,0,0,1,,,8,,,3,,,1,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,1,2,,,,,,,,,,,
SEM,DIVERSE,1,E5,0,0,9,0,4,0,0,3,,,20,,,,,,8,,,,,,2,,,,,,2,1,,,,,9,,,,,,,,,,,3,4,,,1,,,,,,,,
SEM,DIVERSE,2,A1,0,0,0,0,0,0,0,0,,1,1,,,,,,3,,,,,,1,,,,,,3,4,,,,,1,,,,,,,,9,,,3,3,,,1,,,,,,,,
SEM,DIVERSE,2,B1,0,0,0,0,0,0,0,0,,18,1,,,1,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,
SEM,DIVERSE,2,C1,1,0,1,0,0,1,0,0,,5,5,,,1,,,1,,,,,,1,,,,,,,4,,1,,,2,,,,,,,,,,,2,,,2,,,,,,,,,25% BG
SEM,DIVERSE,2,D1,0,0,0,0,0,1,0,0,,4,9,,,2,,,2,,,,,,1,,,,,,,1,,,,,3,,,,,,,,,,,6,,,,2,,,,,,,,
SEM,DIVERSE,2,E1,0,1,0,0,0,0,0,0,,,6,,,,,,2,,,,,,2,,,,,,,,,,,,1,,,,,,,,8,,,4,,,,1,,,,,,,,
SEM,DIVERSE,2,A2,0,0,0,0,2,1,0,0,,,,,,,,,1,,,,,,,,,,,,1,4,,1,,,1,,,,,,,,4,,,3,3,,,1,,,,,,,,
SEM,DIVERSE,2,B2,0,0,1,0,0,0,0,0,,4,,,,1,,,3,,,,,,,,,,,,1,3,,,,,,,,,,,,,7,,,2,4,,,,,,,,,,,
SEM,DIVERSE,2,C2,0,0,1,0,0,0,0,3,,,7,,,3,,,1,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,2,1,,,1,,,,,,,,
SEM,DIVERSE,2,D2,0,0,2,0,0,0,0,0,,2,5,,,,,,,,,,,,2,,,,,,,1,,2,,,1,,,,,,,,,,,,,,,2,,,,,,,,25% BG
SEM,DIVERSE,2,E2,0,11,3,0,0,0,2,1,,,5,,,,,,1,,,,,,3,,,,,,,,,,,,1,,,,,,,,3,,,2,,,,1,,,,,,,,
SEM,DIVERSE,2,A3,0,0,0,,2,0,0,0,,,4,,,4,,,4,,,,,,6,,,,,,,1,,,,,,,,,,,,,6,,,,2,,,1,,,,,,,,
SEM,DIVERSE,2,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEM,DIVERSE,2,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEM,DIVERSE,2,D3,0,0,8,0,1,0,0,0,,3,3,,,1,,,1,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,4,,,,,,,,
SEM,DIVERSE,2,E3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEM,DIVERSE,2,A4,1,0,0,0,1,0,0,0,,,1,,,1,,1,7,,,,,,7,,,,,,3,,,3,,,,,,,,,,,6,,,6,,,,1,,,,,,,,
SEM,DIVERSE,2,B4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEM,DIVERSE,2,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEM,DIVERSE,2,D4,0,0,5,1,5,0,0,1,,,6,,,2,,,1,,,,,,7,,,,,,,,,,,,2,,,,,,,,,,,,3,,,3,,,,,,,,
SEM,DIVERSE,2,E4,0,0,14,0,0,2,0,2,,,5,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,,4,,,3,,,,,,,,
SEM,DIVERSE,2,A5,0,0,0,0,1,0,0,2,,,0,,,1,,1,8,,,,,,6,,,,,,1,1,,,,,,,,,,,,,2,,,10,1,,,1,,,,,,,,
SEM,DIVERSE,2,B5,2,0,0,0,1,1,0,0,,,6,,,,,,7,,,,,,4,,,,,,1,,,,,,,,,,,,,,3,,,7,6,,,1,,,,,,,,
SEM,DIVERSE,2,C5,0,0,0,0,1,0,0,2,,3,6,,,1,,,2,,,,,,5,,,,,,,,,,,,1,,,,,,,,5,,,4,3,,,1,,,,,,,,
SEM,DIVERSE,2,D5,1,0,0,0,6,0,0,4,,,5,,,1,,,3,,,,,,3,,,,,,2,,,,,,,,,,,,,,4,,,5,1,,,1,,,,,,,,
SEM,DIVERSE,2,E5,0,0,16,0,4,0,0,0,,,6,,,2,,,5,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,4,,,,,,,,,,,
SEM,DIVERSE,3,A1,0,0,0,0,1,0,0,0,1,2,8,,,4,,,1,,,,,,1,,,,,,,4,,3,,,,,,,,,,,,,,4,2,,,,,,,,,,,
