PARK,PLOT,PLOT,SUBPLOT,PLECON,NAVSQU,EPIDEN,PLAFIG,GILCAP,COLLOM,CLAPUR,COLLIN,BROHOR,ERILAN,CRESET,CYNECH,DAUCAR,GERDIS,LEUVUL,Madia,SHEARV,AIRCAR,ARRELA,BROELE,BRODIA,BROSTE,GALAPA,HOLLAN,LINBIE,MYODIS,PLALAN,RUAR,TORARV,VULBRO,agrostis spp,APOAND,CAMLEI,CASTEN,CERGLO,Cirsium,DACGLO,DIAARM,HYPPER,LACSER,LATVES,RUMCRI,SONASP,TAECAP,TRIDUB,Trifolium,Vicia,CARTUM,VEROFF,BROSIT,EPIBRA,CARHIR,NAVINT,CYTSCO,ACMAME,DICCON,WYEANG,NOTES
WIR,DIVERSE,1,A1,0,0,1,0,0,0,0,0,4,,2,,,,,,<1,1,,,,2,<1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
WIR,DIVERSE,1,B1,2,0,0,0,0,1,0,0,3,,,,1,,,,,<1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,7,6,,,,,,,,,
WIR,DIVERSE,1,C1,2,0,0,0,0,0,4,0,<1,,,,,,,,,1,,,,<1,<1,,,2,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,,,,
WIR,DIVERSE,1,D1,1,0,0,0,0,0,4,0,0,,2,,2,,1,,,2,,,,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
WIR,DIVERSE,1,E1,14,0,0,0,0,0,1,0,4,,3,,,1,,,,3,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,2,,,,,,
WIR,DIVERSE,1,A2,0,0,1,0,0,0,1,0,3,,1,,1,,,,,<1,,,,1,<1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,1,B2,0,0,0,0,0,0,1,0,2,,2,,1,,1,,,<1,,,,1,<1,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,
WIR,DIVERSE,1,C2,3,0,0,0,0,1,8,0,<1,,3,,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,,,,,,,,,
WIR,DIVERSE,1,D2,5,0,0,0,0,0,9,0,<1,,3,,2,,,,,1,,,,1,,,,,,,,,<1,,,,,,,,,,,,,,,,,1,7,,,,,,,,,
WIR,DIVERSE,1,E2,10,0,0,0,0,1,0,0,3,,2,,1,2,,,,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,7,,,,1,,
WIR,DIVERSE,1,A3,0,1,1,0,0,0,0,0,5,,5,,,,,,,<1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,
WIR,DIVERSE,1,B3,0,0,0,0,0,1,0,0,5,,1,,,2,,,,<1,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,2,,24,,,,,,,,,
WIR,DIVERSE,1,C3,5,0,0,0,0,0,0,0,1,,,,,,,,<1,<1,,,,1,<1,,,,,,,,,,,,,,,,,,,,,,,,,5,10,,,,,,,,,
WIR,DIVERSE,1,D3,4,0,0,0,0,0,0,0,1,,4,,2,2,,,,4,,,,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,1,1,10,,,,,,,,,
WIR,DIVERSE,1,E3,2,0,0,0,0,0,0,0,2,,2,,2,,1,,,4,,,,3,,,,,,,,<1,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
WIR,DIVERSE,1,A4,0,0,0,0,0,0,0,0,4,,4,,,2,,,,0,,,,4,3,,,,,,,<1,,,,,,,,1,,,,,,,,,,,15,,,,,,,,,
WIR,DIVERSE,1,B4,0,0,0,0,0,0,0,0,3,,4,,,1,,,<1,2,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,<1,22,,,,,,,,,
WIR,DIVERSE,1,C4,2,0,0,0,0,1,0,1,3,,6,,1,,,,,2,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,3,,,6,,,,,,,,,
WIR,DIVERSE,1,D4,1,0,0,0,0,1,0,1,3,,9,,2,,,,<1,<1,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,1,2,,5,,,,,,,,,
WIR,DIVERSE,1,E4,9,0,0,0,0,3,0,0,2,,9,,,,1,,1,2,,,,1,<1,,,1,,,,,,,,,1,,,,,,,,,,,4,,,6,,,,,,,,,
WIR,DIVERSE,1,A5,0,0,0,0,0,1,0,0,4,,,,3,,,,,1,,,,4,2,,,,,,1,,,,,,5,,,1,,,,,,,,,1,,6,,,,,,,,,
WIR,DIVERSE,1,B5,0,0,0,0,0,0,0,0,3,,5,1,4,,,,,1,,,,9,1,,,3,,,,,,,,,4,,,,,,,,,,,,2,,2,,,,,,,,,
