PARK,PLOT,SPECIES,Date,Phenophase,Value
BR,ALONE,CLAPUR,3/25/2025,B,
BR,ALONE,CLAPUR,3/25/2025,FL,
BR,ALONE,CLAPUR,3/25/2025,FR,
BR,ALONE,CLAPUR,3/25/2025,V,15
BR,ALONE,CLAPUR,3/28/2025,B,
BR,ALONE,CLAPUR,3/28/2025,FL,
BR,ALONE,CLAPUR,3/28/2025,FR,
BR,ALONE,CLAPUR,3/28/2025,V,15
BR,ALONE,CLAPUR,4/1/2025,B,
BR,ALONE,CLAPUR,4/1/2025,FL,
BR,ALONE,CLAPUR,4/1/2025,FR,
BR,ALONE,CLAPUR,4/1/2025,V,15
BR,ALONE,CLAPUR,4/4/2025,B,
BR,ALONE,CLAPUR,4/4/2025,FL,
BR,ALONE,CLAPUR,4/4/2025,FR,
BR,ALONE,CLAPUR,4/4/2025,V,15
BR,ALONE,CLAPUR,4/8/2025,B,
BR,ALONE,CLAPUR,4/8/2025,FL,
BR,ALONE,CLAPUR,4/8/2025,FR,
BR,ALONE,CLAPUR,4/8/2025,V,15
BR,ALONE,CLAPUR,4/11/2025,B,
BR,ALONE,CLAPUR,4/11/2025,FL,
BR,ALONE,CLAPUR,4/11/2025,FR,
BR,ALONE,CLAPUR,4/11/2025,V,15
BR,ALONE,CLAPUR,4/15/2025,B,
BR,ALONE,CLAPUR,4/15/2025,FL,
BR,ALONE,CLAPUR,4/15/2025,FR,
BR,ALONE,CLAPUR,4/15/2025,V,15
BR,ALONE,CLAPUR,4/18/2025,B,
BR,ALONE,CLAPUR,4/18/2025,FL,
BR,ALONE,CLAPUR,4/18/2025,FR,
BR,ALONE,CLAPUR,4/18/2025,V,15
BR,ALONE,CLAPUR,4/22/2025,B,
BR,ALONE,CLAPUR,4/22/2025,FL,
BR,ALONE,CLAPUR,4/22/2025,FR,
BR,ALONE,CLAPUR,4/22/2025,V,15
BR,ALONE,CLAPUR,4/25/2025,B,
BR,ALONE,CLAPUR,4/25/2025,FL,
BR,ALONE,CLAPUR,4/25/2025,FR,
BR,ALONE,CLAPUR,4/25/2025,V,15
BR,ALONE,CLAPUR,4/29/2025,B,
BR,ALONE,CLAPUR,4/29/2025,FL,
BR,ALONE,CLAPUR,4/29/2025,FR,
BR,ALONE,CLAPUR,4/29/2025,V,15
BR,ALONE,CLAPUR,5/2/2025,B,
BR,ALONE,CLAPUR,5/2/2025,FL,
BR,ALONE,CLAPUR,5/2/2025,FR,
BR,ALONE,CLAPUR,5/2/2025,V,15
BR,ALONE,CLAPUR,5/6/2025,B,
BR,ALONE,CLAPUR,5/6/2025,FL,
BR,ALONE,CLAPUR,5/6/2025,FR,
BR,ALONE,CLAPUR,5/6/2025,V,15
BR,ALONE,CLAPUR,5/9/2025,B,
BR,ALONE,CLAPUR,5/9/2025,FL,
BR,ALONE,CLAPUR,5/9/2025,FR,
BR,ALONE,CLAPUR,5/9/2025,V,15
BR,ALONE,CLAPUR,5/13/2025,B,
BR,ALONE,CLAPUR,5/13/2025,FL,
