PARK,PLOT,PLOT,SUBPLOT,PLECON,NAVSQU,PLAFIG,EPIDEN,GILCAP,COLLIN,CLAPUR,COLLOM,LACSER,SHEARV,GALAPA,LATHVIC,ERILAN,DAUCAR,APOAND,LUPBIC,LEUVUL,TRIFOLIUM,MYODIS,CERGLO,GERDIS,BROSTE,CYNECH,VULBRO,UNK,HYPPER,CIRARV,VERARV
SEM,DIVERSE,1,A1,0,7,0,0,2,0,1,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,1,B1,0,0,0,1,1,0,0,0,0,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,1,C1,0,2,1,0,2,0,3,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,1,D1,0,3,0,4,3,0,1,2,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,1,E1,0,1,0,1,2,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,1,A2,0,2,0,4,1,0,2,3,0,7,4,5,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
SEM,DIVERSE,1,B2,0,11,0,1,1,0,4,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,1,C2,0,5,0,4,2,0,2,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,1,D2,0,14,0,5,5,1,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
SEM,DIVERSE,1,E2,0,20,1,2,4,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SEM,DIVERSE,1,A3,0,4,0,7,4,3,4,2,0,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,1,B3,0,18,2,9,4,1,7,1,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,1,C3,0,11,1,7,3,2,2,4,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,1,D3,0,18,0,4,3,1,3,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,1,E3,0,11,0,3,2,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,1,A4,1,8,1,8,0,3,1,6,3,2,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,1,B4,0,12,3,7,7,5,3,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SEM,DIVERSE,1,C4,0,15,3,6,5,1,8,4,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SEM,DIVERSE,1,D4,0,8,0,5,5,1,4,2,0,2,2,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
SEM,DIVERSE,1,E4,0,21,0,3,1,0,3,3,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SEM,DIVERSE,1,A5,0,3,0,8,6,0,10,3,0,9,2,1,0,1,1,0,0,0,6,1,0,0,0,0,0,0,0,0
SEM,DIVERSE,1,B5,0,18,2,4,5,0,4,0,0,2,2,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,1,C5,1,25,3,3,5,2,3,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,1,D5,0,4,0,1,1,2,0,0,0,2,6,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,1,E5,0,3,0,0,2,2,4,0,0,8,5,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
SEM,DIVERSE,2,A1,0,6,0,2,1,2,0,0,0,7,2,3,0,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0
SEM,DIVERSE,2,B1,0,4,0,6,5,0,0,0,1,7,2,2,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
SEM,DIVERSE,2,C1,0,11,1,2,3,3,0,5,0,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
SEM,DIVERSE,2,D1,1,0,0,0,1,3,0,3,0,3,8,2,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,
SEM,DIVERSE,2,E1,0,1,0,1,0,0,0,0,0,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SEM,DIVERSE,2,A2,0,11,0,3,0,0,2,4,0,10,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
SEM,DIVERSE,2,B2,0,26,1,5,4,0,2,4,0,6,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
SEM,DIVERSE,2,C2,0,12,0,4,5,1,3,7,0,5,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
SEM,DIVERSE,2,D2,0,1,0,2,0,0,1,0,0,2,4,2,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,
SEM,DIVERSE,2,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
SEM,DIVERSE,2,A3,0,6,0,0,6,1,3,7,0,2,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
SEM,DIVERSE,2,B3,0,8,0,1,2,3,2,4,0,4,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
SEM,DIVERSE,2,C3,0,2,0,2,4,1,2,4,0,2,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
SEM,DIVERSE,2,D3,0,0,0,2,0,0,1,0,0,2,3,1,1,0,0,0,0,7,0,0,0,0,0,0,0,3,0,
SEM,DIVERSE,2,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
SEM,DIVERSE,2,A4,1,34,4,9,4,1,7,2,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
SEM,DIVERSE,2,B4,0,17,0,15,3,2,1,3,1,6,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
SEM,DIVERSE,2,C4,0,27,0,5,3,1,3,5,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SEM,DIVERSE,2,D4,1,9,0,9,5,2,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SEM,DIVERSE,2,E4,0,9,5,7,5,1,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SEM,DIVERSE,2,A5,0,36,0,0,4,2,1,0,0,4,2,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,
SEM,DIVERSE,2,B5,0,15,0,8,5,0,4,2,0,0,2,2,0,1,3,0,0,2,1,2,0,0,0,0,0,0,0,
SEM,DIVERSE,2,C5,0,25,2,9,6,1,2,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
