PARK,PLOT,SPECIES,REP,DATE,PLOT,SUBPLOT,HEIGHT,TOTALINFL,TOPINFL_FR,SIDEINFL_FR,FR_PER_INFL,FINALFR,NOTES,,,,,,,,,,,,
Ç,ALONE,CLAPUR,1,7/18/2025,,,7,,,,,22,,,,,,,,,,,,,
SEM,ALONE,CLAPUR,2,7/18/2025,,,8,,,,,10,,,,,,,,,,,,,
SEM,ALONE,CLAPUR,3,7/18/2025,,,12.2,,,,,7,,,,,,,,,,,,,
SEM,ALONE,CLAPUR,4,7/18/2025,,,6.1,,,,,26,BT,,,,,,,,,,,,
SEM,ALONE,CLAPUR,5,,,,,,,,,,gone,,,,,,,,,,,,
SEM,ALONE,CLAPUR,6,7/18/2025,,,5.9,,,,,3,BT,,,,,,,,,,,,
SEM,ALONE,CLAPUR,7,7/18/2025,,,7,,,,,31,BT,,,,,,,,,,,,
SEM,ALONE,CLAPUR,8,7/18/2025,,,7.1,,,,,3,BT,,,,,,,,,,,,
SEM,ALONE,CLAPUR,9,,,,,,,,,,gone,,,,,,,,,,,,
SEM,ALONE,CLAPUR,10,7/18/2025,,,6.8,,,,,8,BT,,,,,,,,,,,,
SEM,ALONE,CLAPUR,11,7/18/2025,,,10.6,,,,,18,BT,,,,,,,,,,,,
SEM,ALONE,CLAPUR,12,7/18/2025,,,8.1,,,,,26,BT,,,,,,,,,,,,
SEM,ALONE,CLAPUR,13,,,,,,,,,,gone,,,,,,,,,,,,
SEM,ALONE,CLAPUR,14,,,,,,,,,,gone,,,,,,,,,,,,
SEM,ALONE,CLAPUR,15,7/18/2025,,,8.3,,,,,16,BT,,,,,,,,,,,,
SEM,ALONE,CLAPUR,16,7/18/2025,,,5.3,,,,,5,BT,,,,,,,,,,,,
SEM,ALONE,CLAPUR,17,7/18/2025,,,7.3,,,,,24,BT,,,,,,,,,,,,
SEM,ALONE,CLAPUR,18,7/18/2025,,,12.8,,,,,2,BT,,,,,,,,,,,,
SEM,ALONE,CLAPUR,19,7/18/2025,,,16.3,,,,,25,BT,,,,,,,,,,,,
SEM,ALONE,CLAPUR,20,7/18/2025,,,5.3,,,,,9,BT,,,,,,,,,,,,
SEM,ALONE,CLAPUR,21,7/18/2025,,,8.1,,,,,8,BT,,,,,,,,,,,,
SEM,DIVERSE,CLAPUR,1,,5,,,,,,,,GONE,,,,,,,,,,,,
SEM,DIVERSE,CLAPUR,2,7/18/2025,6,A2,5.3,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,CLAPUR,3,7/18/2025,5,B3,,,,,,,GONE,,,,,,,,,,,,
