COLUMN,PLOT,CELL,TREATMENT,SPECIES,DATE,NUM_INDIV_CELL,FINAL_NUM_INDIV_CELL,FINAL_FOCAL_HT,TOTAL_LARGE_INFL,L_NUM_COLLECT,LARGESEED,TOTAL_MID_INFL,M_NUM_COLLECT,MIDSEED,TOTAL_SMALL_INFL,S_NUM_COLLECT,SMALLSEED,TOTAL_FR_CELL,subset? (y/n),NUM_FR_COLLECT,TOTAL_NUM_SEED,SEED_PER_INDIV,SEED_PER_FR,NOTES
1,1,9,DROUGHT,COLLOM,7/10/2025,2,2,72.5,16,,,33,3,42,59,3,9,,Y,9,#DIV/0!,#DIV/0!,,
1,2,5,DROUGHT,COLLOM,7/10/2025,2,2,81.7,45,,,113,3,32,237,3,14,,y,9,#DIV/0!,#DIV/0!,,
1,3,3,DROUGHT,COLLOM,7/14/2025,3,3,78.0,24,3,156,41,,,82,,,,y,9,#DIV/0!,#DIV/0!,,
1,4,2,DROUGHT,TRIWIL,,1,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,gone
1,4,3,DROUGHT,PLECON,6/13/2025,3,2,36.7,51,3,425,66,3,157,88,3,51,,y,9,"12,175","6,088",,
1,4,5,DROUGHT,COLLOM,7/15/2025,3,3,53.6,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
1,4,6,DROUGHT,TRWIL,6/19/2025,2,2,18.5,0,,,0,,,3,,,,y,,#DIV/0!,#DIV/0!,,
1,4,7,BUFFER,TRIWIL,6/19/2025,2,1,31.7,0,,,13,,,7,,,,n,,#DIV/0!,#DIV/0!,,
1,4,8,DROUGHT,TRIWIL,6/19/2025,2,2,9.3,0,,,1,,,2,,,,n,,#DIV/0!,#DIV/0!,,
1,4,9,DROUGHT,COLLOM,7/15/2025,3,3,74.3,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
1,5,2,DROUGHT,COLLOM,7/15/2025,1,1,58.0,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
1,5,6,DROUGHT,PLECON,6/19/2025,3,3,34.0,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,broken
1,5,9,DROUGHT,PLECON,6/13/2025,2,1,55.1,10,3,377,12,3,201,14,3,91,,y,9,"2,485","2,485",,
2,2,2,DROUGHT,TRIWIL,6/19/2025,3,2,58.2,2,,,8,,,7,,,,y,,#DIV/0!,#DIV/0!,,
2,2,3,DROUGHT,TRIWIL,6/19/2025,1,1,38.1,1,,,9,,,1,,,,y,,#DIV/0!,#DIV/0!,,
2,2,4,DROUGHT,COLLOM,7/10/2025,3,3,82.7,32,3,210,59,3,43,72,3,12,,y,9,"3,374","1,125",,
2,2,5,DROUGHT,COLLOM,7/15/2025,2,1,74.9,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
2,2,6,DROUGHT,TRIWIL,6/19/2025,1,1,52.1,0,,,4,,,5,,,,y,,#DIV/0!,#DIV/0!,,
2,2,7,DROUGHT,COLLOM,7/15/2025,2,2,22.1,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
2,2,8,DROUGHT,COLLOM,7/15/2025,3,3,69.1,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
2,3,1,DROUGHT,PLECON,6/13/2025,3,2,49.3,68,3,293,138,3,188,130,3,44,,y,9,"17,196","8,598",,
2,3,3,DROUGHT,COLLOM,7/14/2025,1,1,70.5,7,,,43,,,73,,,,y,9,#DIV/0!,#DIV/0!,,
2,3,8,DROUGHT,COLLOM,7/15/2025,3,3,70.8,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
