PARK,PLOT_TYPE,SPECIES,REP,DATE,PLOT,SUBPLOT,HEIGHT,BIOMASS,STEMS,TOTALINFL,TOPINFL_FR,SIDEINFL_FR,FR_PER_INFL,FINALFR,NOTES,,,,,
BR,ALONE,PLECON,1,6/25/2024,,,34.8,,1,23,,,,,,,,,,
BR,ALONE,PLECON,2,6/25/2024,,,31.5,,1,22,,,,,,,,,,
BR,ALONE,PLECON,3,7/24/2024,,,6.0,,1,,,,,,BT,,,,,
BR,ALONE,PLECON,4,7/2/2024,,,26.0,,1,11,,,,,,,,,,
BR,ALONE,PLECON,5,6/25/2024,,,25.5,,1,15,,,,,,,,,,
BR,ALONE,PLECON,6,6/25/2024,,,24.1,,1,9,,,,,,,,,,
BR,ALONE,PLECON,7,7/2/2024,,,8.6,,1,3,,,,,,,,,,
BR,ALONE,PLECON,8,6/25/2024,,,13.3,,1,3,,,,,,,,,,
BR,ALONE,PLECON,9,6/25/2024,,,20.6,,1,16,,,,,,,,,,
BR,ALONE,PLECON,10,7/2/2024,,,28.0,,1,7,,,,,,,,,,
BR,ALONE,NAVSQU,1,7/24/2024,,,32.8,11.334,10,65,46,31,,2030,,,,,,
BR,ALONE,NAVSQU,2,7/24/2024,,,43.2,6.363,7,40,28,13,,535,,,,,,
BR,ALONE,NAVSQU,3,7/24/2024,,,35.1,3.443,5,19,34,15,,304,,,,,,
BR,ALONE,NAVSQU,4,7/24/2024,,,35.3,,1,18,,,,,,,,,,
BR,ALONE,NAVSQU,5,7/24/2024,,,40.6,,8,51,,,,,,,,,,
BR,ALONE,NAVSQU,6,7/24/2024,,,36.9,4.735,8,31,18,13,,408,,,,,,
BR,ALONE,NAVSQU,7,7/24/2024,,,38.7,4.934,4,18,29,21,,386,,,,,,
BR,ALONE,NAVSQU,8,7/24/2024,,,35.6,6.517,7,26,34,16,,434,,,,,,
BR,ALONE,NAVSQU,9,7/24/2024,,,13.7,0.889,4,11,16,5,,66,,,,,,
BR,ALONE,NAVSQU,10,7/24/2024,,,43.2,4.321,3,18,28,21,,385,,,,,,
BR,ALONE,PLAFIG,1,6/25/2024,,,17.3,,1,,,,,23,,,,,,
BR,ALONE,PLAFIG,2,6/25/2024,,,15.4,,1,,,,,59,,,,,,
BR,ALONE,PLAFIG,4,6/25/2024,,,20.9,,1,,,,,107,,,,,,
BR,ALONE,PLAFIG,5,6/25/2024,,,25.6,,1,,,,,112,,,,,,
BR,ALONE,PLAFIG,6,6/25/2024,,,20.6,,1,,,,,132,,,,,,
BR,ALONE,PLAFIG,7,6/25/2024,,,19.3,,1,,,,,217,,,,,,
BR,ALONE,PLAFIG,8,6/25/2024,,,15.1,,1,,,,,85,,,,,,
BR,ALONE,PLAFIG,9,6/25/2024,,,19.6,,1,,,,,71,,,,,,
BR,ALONE,PLAFIG,10,6/25/2024,,,21.0,,1,,,,,66,,,,,,
BR,ALONE,PLAFIG,11,6/25/2024,,,11.0,,1,,,,,15,,,,,,
BR,ALONE,EPIDEN,1,7/24/2024,,,8.1,1.230,1,,,,,24,,,,,,
BR,ALONE,EPIDEN,2,7/24/2024,,,7.6,0.213,1,,,,,9,,,,,,
BR,ALONE,EPIDEN,4,7/24/2024,,,11.8,0.473,1,,,,,15,,,,,,
BR,ALONE,EPIDEN,5,7/24/2024,,,5.5,0.389,1,,,,,13,,,,,,
BR,ALONE,EPIDEN,6,7/24/2024,,,6.4,0.290,1,,,,,11,,,,,,
BR,ALONE,EPIDEN,7,7/24/2024,,,7.1,1.808,1,,,,,38,,,,,,
BR,ALONE,EPIDEN,8,7/24/2024,,,7.3,0.441,1,,,,,9,,,,,,
BR,ALONE,EPIDEN,9,7/24/2024,,,6.0,,1,,,,,,,,,,,
BR,ALONE,EPIDEN,10,7/24/2024,,,6.1,,1,,,,,,,,,,,
BR,ALONE,EPIDEN,11,7/24/2024,,,6.8,0.997,1,,,,,23,,,,,,
BR,ALONE,EPIDEN,12,7/24/2024,,,7.1,,1,,,,,,,,,,,
BR,ALONE,GILCAP,2,7/24/2024,,,10.7,0.765,1,9,,,25,225,,,,,,
BR,ALONE,GILCAP,4,7/24/2024,,,13.6,0.437,1,14,,,25,350,,,,,,
BR,ALONE,GILCAP,5,7/24/2024,,,11.6,0.952,1,15,,,25,375,,,,,,
BR,ALONE,GILCAP,6,7/24/2024,,,8.3,0.457,1,17,,,25,425,,,,,,
BR,ALONE,GILCAP,7,7/24/2024,,,15.1,0.912,1,10,,,25,250,,,,,,
BR,ALONE,GILCAP,8,7/24/2024,,,10.0,0.195,1,16,,,25,400,,,,,,
BR,ALONE,GILCAP,9,7/24/2024,,,13.7,1.150,1,17,,,25,425,,,,,,
BR,ALONE,GILCAP,10,7/24/2024,,,29.0,1.295,1,17,,,25,425,,,,,,
BR,ALONE,GILCAP,11,7/24/2024,,,31.4,,1,14,,,25,350,,,,,,
BR,ALONE,COLLOM,1,7/24/2024,,,8.4,0.618,2,5,9,1,,13,,,,,,
BR,ALONE,COLLOM,3,7/24/2024,,,6.4,1.544,1,15,6,4,,62,,,,,,
BR,ALONE,COLLOM,4,7/24/2024,,,12.4,3.677,1,32,5,4,,129,,,,,,
BR,ALONE,COLLOM,5,7/24/2024,,,5.3,0.329,1,3,0,2,,4,,,,,,
BR,ALONE,COLLOM,6,7/24/2024,,,6.2,0.222,1,2,6,2,,8,,,,,,
BR,ALONE,CLAPUR,1,7/24/2024,,,13.0,0.371,3,,,,,11,,,,,,
BR,ALONE,CLAPUR,4,7/24/2024,,,9.5,0.136,1,,,,,2,,,,,,
BR,ALONE,CLAPUR,5,7/24/2024,,,12.1,0.199,2,,,,,3,,,,,,
BR,ALONE,CLAPUR,6,7/24/2024,,,10.2,0.304,1,,,,,4,,,,,,
BR,ALONE,CLAPUR,7,7/24/2024,,,13.6,0.469,1,,,,,9,,,,,,
BR,ALONE,CLAPUR,8,7/24/2024,,,6.9,,1,,,,,4,,,,,,
BR,ALONE,CLAPUR,9,7/24/2024,,,14.9,,4,,,,,9,,,,,,
BR,ALONE,CLAPUR,10,7/24/2024,,,14.3,0.528,1,,,,,11,,,,,,
BR,ALONE,CLAPUR,11,7/24/2024,,,17.2,0.189,1,,,,,3,,,,,,
BR,ALONE,CLAPUR,12,7/24/2024,,,5.3,0.167,2,,,,,5,,,,,,
BR,ALONE,COLLIN,1,7/2/2024,,,9.0,,1,,,,,16,,,,,,
BR,ALONE,COLLIN,4,7/2/2024,,,22.7,0.053,1,,,,,39,,,,,,
